amount,merchant,description,label
43.03,LocalMarket,Through benefit country nation eye.,groceries
36.87,Amazon,Ground around bed marriage information under explain.,normal
2432.46,InsuranceCo,Report operation evening account small finish lay.,fraudulent
453.97,Shell,Specific resource decide address.,normal
703.07,Walmart,Thought into attorney teach job feeling explain.,normal
64.7,Netflix,Training media about edge.,normal
27.72,Netflix,Writer man write on anyone.,normal
134.87,LocalMarket,Some structure new southern up detail stop.,groceries
15.83,InsuranceCo,Nor finally offer or war.,normal
85.61,LocalMarket,Recent woman face whom.,groceries
2619.8,Amazon,Already month push nature choose stock.,fraudulent
63.07,Amazon,Do establish person raise pass.,normal
484.57,Amazon,Million entire significant.,normal
2797.05,Amazon,Consumer cell college behind national share once.,fraudulent
514.38,Shell,Like career down get.,normal
587.61,Starbucks,Price item family trip provide short difference.,normal
221.14,Walmart,Trade class attention.,groceries
367.07,InsuranceCo,Compare boy social full age cold light.,normal
756.52,Netflix,Agree meeting base garden because physical.,normal
719.96,LocalMarket,Organization series international difficult.,normal
410.96,Shell,Pay you production use.,normal
291.46,InsuranceCo,Dark wall ask interview.,normal
691.47,Walmart,Character Congress forget only.,normal
113.49,Shell,Source field administration place.,normal
67.74,InsuranceCo,Finish worry American medical game bag rich.,normal
60.57,Netflix,Ready respond strong without.,entertainment
619.78,Walmart,Represent finish certainly.,normal
104.66,InsuranceCo,Standard person type main soon.,normal
493.19,LocalMarket,One support reality rather position nature central certainly.,normal
76.75,LocalMarket,Hope particularly newspaper specific.,normal
749.33,Walmart,Government since western material without.,normal
127.65,Starbucks,Let together family reduce ago less follow.,entertainment
151.9,Walmart,Few government fund wait.,normal
211.33,InsuranceCo,Push require staff I.,normal
93.39,Starbucks,Poor they chance out strategy reach film parent.,normal
8.45,Netflix,Class could candidate reveal.,normal
479.64,Amazon,View order candidate option somebody.,normal
123.86,Starbucks,Turn finish know claim not standard.,entertainment
47.67,LocalMarket,By finish word market nation eye write great.,groceries
72.04,Shell,Ground father vote religious soon because where.,normal
225.09,Amazon,Run whether at others.,normal
61.37,Walmart,Impact feel single consider dinner suddenly send.,groceries
563.85,LocalMarket,Wind nearly today voice protect.,normal
32.07,Walmart,Another quality near social.,groceries
155.1,Netflix,Clearly message military lead modern building.,entertainment
226.43,Walmart,Yard participant have example.,normal
778.71,Walmart,Room face improve compare safe scientist pattern.,normal
